64419,	41,	49903
46501,	82,	63912
59608,	6,	27018
30288,	36,	40626
11773,	12,	4905
59610,	76,	40470
26998,	67,	42729
39696,	73,	22504
63892,	1,	60350
34887,	82,	61552
30684,	68,	36106
7711,	28,	49851
17600,	34,	17368
10795,	19,	1040
48158,	66,	15992
30122,	52,	9637
18927,	100,	61725
18408,	68,	40470
14797,	71,	53393
42638,	98,	17746
14710,	77,	27236
42199,	74,	4517
60850,	19,	49349
25225,	58,	41900
42871,	87,	13385
20524,	74,	31583
33455,	78,	48648
57850,	53,	17149
49591,	20,	2384
33792,	50,	60683
44197,	83,	36843
10883,	31,	57789
51799,	95,	59979
144,	33,	23579
39684,	71,	39862
32605,	95,	29079
35457,	68,	35296
10089,	84,	33251
436,	74,	54236
12817,	61,	58064
43054,	88,	63885
48316,	37,	58298
61999,	100,	20691
56750,	30,	15644
60426,	6,	60350
16899,	96,	7882
64254,	69,	54175
2863,	18,	38601
8046,	31,	6560
36798,	45,	34459
46777,	82,	49747
22164,	72,	17268
63568,	62,	11959
5828,	91,	41470
41824,	81,	30487
17910,	3,	4722
31901,	53,	58603
26610,	51,	15077
15060,	31,	6087
36125,	10,	47189
65267,	67,	24594
49960,	36,	28277
29226,	55,	28612
22937,	31,	32309
61584,	94,	13293
18567,	60,	64594
46872,	31,	7577
10334,	22,	55189
23647,	23,	60690
35582,	98,	64655
8600,	39,	5398
26469,	7,	180
35910,	75,	6315
14892,	81,	40663
36751,	56,	15077
41035,	63,	10527
6040,	15,	6087
18536,	94,	13142
28759,	43,	49477
7634,	75,	12570
3407,	82,	38281
21185,	25,	10157
22758,	55,	43439
5875,	33,	33432
62834,	75,	48966
56639,	47,	29252
47468,	87,	54175
60392,	60,	15078
53096,	5,	43218
28802,	76,	41374
33772,	36,	43284
65086,	14,	19883
15142,	44,	36980
42959,	84,	30346
42278,	25,	52036
4126,	89,	61196
8095,	7,	21661
23453,	76,	10878
29294,	29,	29667
45908,	74,	47189
18977,	31,	43809
25098,	53,	11427
40349,	35,	39211
48012,	18,	27800
34051,	65,	10766
42489,	3,	35091
37621,	17,	28914
6171,	92,	20763
